,district,city,name,address,ot,ct,no_cashier,sunday_open,chain_membership,p_coke,p_snickers
1,14,Outer,Spar,"Szentmihályi út 23, 1144",6:30,21:00,3,Yes,Yes,259,189
2,14,Outer,D&D Vegyesbolt,"Csertő u. 2, 1144",8:00,22:00,1,Yes,No,250,120
3,14,Outer,Mini Grocery,Bolgárkertész 1148,10:00,21:00,1,Yes,No,310,150
4,14,Outer,Roni ABC,"Vezér u. 131, 1148",6:00,22:00,1,Yes,Yes,319,199
5,14,Outer,Spar,"Egressy út 178/c, 1146",6:30,21:00,3,Yes,Yes,259,189
6,14,Outer,Tesco Express,"Nagy Lajos király útja 73-77, 1148",7:00,21:00,3,Yes,Yes,275,199
7,14,Outer,Vietnámi Vegyes Kereskedés,"Nagy Lajos király útja 84, 1148",7:00,20:00,1,Yes,No,229,120
8,14,Outer,Király Csemege,"Nagy Lajos király útja 82, 1148",6:00,22:00,1,Yes,No,289,199
9,14,Outer,Bari Market,"Nagy Lajos király útja 74/A, 1148",7:00,21:00,1,Yes,No,269,149
10,14,Outer,Szuper Diszkont Vegyes Bolt,"Kalapács u. 18, 1148",8:00,20:00,1,Yes,No,269,139
11,7,Inner,Roni ABC,"Dohány u. 66, 1074",0:00,0:00,2,Yes,Yes,319,199
12,7,Inner,SUN Store ABC,"Dohány u. 69, 1074",6:00,23:00,1,Yes,No,289,185
13,7,Inner,Szuper Diszkont,"Damjanich u. 21, 1071",7:30,20:00,1,Yes,No,270,120
14,7,Inner,Spar,"Damjanich u. 11, 1071",6:30,21:00,9,Yes,Yes,279,189
15,7,Inner,City Spar,"Erzsébet krt. 24, 1073",7:00,22:00,4,Yes,Yes,259,179
16,7,Inner,Práter 0-24,"Wesselényi u. 31-33, 1077",0:00,0:00,1,Yes,No,320,200
17,7,Inner,Roni ABC,"Wesselényi u. 71, 1077",0:00,0:00,2,Yes,Yes,319,199
18,7,Inner,CBA,"Wesselényi u. 30, 1077",6:00,21:00,2,Yes,Yes,329,179
19,7,Inner,Kingo market,"Wesselényi u. 24, 1077",9:00,22:00,1,Yes,No,290,150
20,7,Inner,ABC,"Dob u. 14, 1072",10:00,0:30,1,No,No,350,200
